,drealloss,dfakeloss,genloss
0,0.110478486,2.19883577,0.065109155
1,0.171359336,1.722756649,0.186707351
2,0.255985543,1.345484271,0.069343421
3,0.336739594,1.01585332,0.076338894
4,0.379551491,0.853981746,0.062447902
5,0.395038087,0.743304276,0.069603451
6,0.406847891,0.664828266,0.035527693
7,0.420278901,0.568772799,0.0376726
8,0.419581912,0.532472654,0.025708981
9,0.403564936,0.486161718,0.014127186
10,0.398369059,0.462832483,0.012422137
11,0.393772762,0.452507519,0.013675139
12,0.379431543,0.41551349,0.009643036
13,0.37180922,0.407168434,0.010387918
14,0.383080618,0.370604734,0.012842722
15,0.348838018,0.395287061,0.010160793
16,0.339450974,0.391885861,0.006074067
17,0.360425759,0.377331466,0.008712625
18,0.338090581,0.373188965,0.005432404
19,0.307563686,0.351341622,0.007040857
20,0.33541656,0.321067679,0.00902099
21,0.311899112,0.351713335,0.011746734
22,0.28635851,0.339484442,0.006822402
23,0.279670411,0.325878094,0.002790083
24,0.279513902,0.294504802,0.004150607
25,0.281034419,0.31488432,0.005424777
26,0.267579172,0.310740046,0.003079213
27,0.249257543,0.27042268,0.00392643
28,0.248790003,0.311278918,0.009098692
29,0.229516333,0.279590183,0.001005028
30,0.243635131,0.257694474,0.001141086
31,0.229243138,0.262501107,0.002876736
32,0.221273805,0.283581051,0.001117039
33,0.248764162,0.25805402,0.001345043
34,0.222566483,0.281533735,0.001541021
35,0.228405996,0.276543684,0.011222677
36,0.234498199,0.257301387,0.001170283
37,0.204760271,0.27434224,0.002369981
38,0.235066314,0.27949756,0.006024467
39,0.271741561,0.215508141,0.003640105
40,0.202819716,0.249094639,0.000934415
41,0.190021792,0.247660312,0.00197448
42,0.206979478,0.244591628,0.001147684
43,0.214088962,0.209534982,0.000550542
44,0.191495361,0.232010613,0.001203184
45,0.162677079,0.232838359,0.001426171
46,0.224579932,0.211368262,0.00546458
47,0.202709546,0.258164582,0.002249118
48,0.196026574,0.216893405,0.000279376
49,0.18862611,0.195908743,0.000332507
50,0.199253,0.201516199,0.001613259
51,0.1809467,0.22498085,0.001762126
52,0.16991058,0.231506259,0.002523037
53,0.188698281,0.197048512,0.001449038
54,0.226508276,0.179423543,0.000485662
55,0.166741787,0.184708894,0.001102372
56,0.18059839,0.174589492,0.002110495
57,0.176073838,0.183327066,0.004025046
58,0.160303391,0.197344108,0.002947661
59,0.16979379,0.168421166,0.004343269
60,0.18627841,0.216387922,0.002979249
61,0.168677631,0.162995379,0.005064504
62,0.182947485,0.154085154,0.00024091
63,0.145210423,0.182062165,0.000314397
64,0.146540336,0.179970981,0.001286105
65,0.143357789,0.153812012,0.00045742
66,0.16832571,0.134218128,0.000862433
67,0.133942113,0.180857321,0.000874557
68,0.115966287,0.165774484,0.000476709
69,0.12356715,0.204293913,0.002503528
70,0.128465218,0.149240269,0.000439433
71,0.145922453,0.147859913,0.000576767
72,0.147461683,0.168962999,0.000288805
73,0.154892324,0.163652977,0.001962847
74,0.148930125,0.174530625,0.004576623
75,0.112206957,0.14054601,0.002229593
76,0.14265425,0.150057662,0.006605034
77,0.137329824,0.164310889,0.004140942
78,0.146810059,0.17020387,0.001752165
79,0.136680659,0.16196422,0.002063852
80,0.143096588,0.151204892,0.003022424
81,0.149967336,0.242430309,0.008682433
82,0.178013246,0.176308032,0.000535607
83,0.141007928,0.165593915,0.000417476
84,0.144043248,0.134398553,0.000826142
85,0.124311332,0.126583266,0.00046481
86,0.111526046,0.131157835,0.000941501
87,0.145954007,0.155200743,0.000601693
88,0.154169911,0.132083335,0.002244519
89,0.166293913,0.21885342,0.00069677
90,0.147974823,0.182193295,0.000570334
91,0.151481138,0.149756685,0.002372908
92,0.123234367,0.142056645,0.001838882
93,0.134288911,0.125389484,0.00128941
94,0.138874818,0.120809526,0.000899516
95,0.151768404,0.124306941,0.001645491
96,0.155298288,0.1258692,0.001643877
97,0.124522245,0.181859454,0.001248437
98,0.131027122,0.123994969,0.000957851
99,0.134473841,0.162255584,0.007052907
